Gens de Mer - Boulogne,Boulogne sur mer,Philippe Arnoult,BOU,gdmboulogne,518 126 990  00150,RE,HO,2*,Mer et océan,62200,Quai Chanzy,DG Urbans,
Gens de Mer - Brest,Brest,Nicolas Duval,BRE,gdmbrest,518 126 990 00226,RE,HO,2*,Mer et océan,29200,44 quai de la douane,DG Urbans,www.gdmbrest.com
Gens de Mer - Dunkerque,dunkerque,Marianne H.Gosse,DUN,gdmdunkerque,518 126 990 00184,RE,HO,2*,Mer et océan,59140,1 Quai du risban,DG Urbans,www.gdmdunkerque.com
Gens de Mer - La Rochelle,La Rochelle,Marylise Boulic,ROC,gdmlarochelle,518 126 990 00192,RE,HO,2*,Mer et océan,17000,20 avenue du Général De Gaulle,DG Urbans,www.gdmlarochelle.com
Gens de Mer - Le Havre,Le Havre,Helene Houdart,HAV,gdmlehavre,518 126 990 00168,RE,HO,2*,Mer et océan,76600,"44, rue Volttaire",DG Urbans,www.gdmlehavre.com
Gens de Mer - Lorient,Lorient,Philippe Gouirand,LOR,gdmlorient,518 126 990 00143,RE,HO,2*,Mer et océan,56100,14 boulevard Nail ,DG Urbans,www.gdmlorient.com
Gens de Mer - Marseille,Marseille,Luc Zwaenepoel,MRS,gdmmarseille,518 126 990 00200,RE,HO,2*,Mer et océan,13002,25 rue de forbin,DG Urbans,www.gdmmarseille.com
Gens de Mer - Saint Quay Portrieux,St Quay Portrieux,Philippe Coppin,POR,gdmportrieux,518 126 990 00218,RE,RE,pas classé ,Mer et océan,22410,"4, rue des écoles",DG Urbans,na
Grand Hôtel du Hohwald,Le Hohwald,Laurent Lozano,GHH,hohwald,528 342 967 00023,RE,HO +RE,3*,Nature et Bien être,67140,12 Rue Principale,Grand Hotel du Hohwald,legrandhotel-hohwald.com
Grand Hôtel Plombières les bains,Plombières -les-Bains,Elisabeth MILLOTTE,GHP,grandplombieres,532 152 287 00027,RE,HO,3*,Nature et Bien être,88370,2 Avenue des Etats-Unis,NSRN,plombieres-les-bains.com
Hameau Des Aiguilles - Savoie,Albiez -Montrond,Sandrine Moreau,HDA,albiez,528 342 827 00029,RE,RE,3*,Montagne et sport,73330,Chemin du chatel,Les Chamois d'Albiez,hameaudesaiguilles.com
Hostellerie de la Pommeraie, Sélestat,Marion Gargowitsch,POM,pommeraie,523 822 112 00414,RE,HO,4*,Villes et châteaux,67600,"8 Boulevard du Maréchal Foch,",DG Holidays,www.pommeraie.fr
Hôtel d'Angleterre,Vittel,Christian Brunet,ANG,hotelangleterre,523 822 112 00422,RE,HO,-,-,88800,"162 Rue de Charmey,",DG Holidays,-
Résidences du Haut Val et Les Sablons,Bellême,Maud Loire,HVL,hautval,,RE,RE,,Nature et Bien être,,Les Résidences du Haut-Val - Les Sablons,Normandy Country Club,www.nccbelleme.com
Jardins de Ramel,Bagnères de Luchon,Corinne SIllières,JDR,ramel,527 928 022 00039,RE,RE,3*,Montagne et sport,31110,Boulevard Amédée Fontant,La Reine Blanche,jardinsderamel-luchon.com
Jardins de Saint Benoît,Saint-Laurent -de-la-Cabrerisse,Cheick Cisse,JSB,saintbenoit,523 822 112 00208,RE,RE,4*,Nature et Bien être,11220,Route de Talairan,DG Holidays,jardinsdesaintbenoit.com
Kangourou,Fréjus,Olivier Seignour,KAN,kangourou,523 822 112 00273,RE,CL,pas classé,Mer et océan,83600,992 Rue Henri Giraud   ,DG Holidays,lekangourou-frejus.com
Lion de Mer,Saint Raphaël,Anna Pilch,LDM,liondemer,523 822 112 00281,RE,CL,pas classé,Mer et océan,83700,218 Bd St Exupéry ,DG Holidays,leliondemer.com
Ma Normandie,Bréville les Monts, Jean Claude Chacon,MNO,manormandie,523 822 112 00331,RE,CL,,Nature et Bien être,14860,Le Bas de Bréville ,DG Holidays,"manormandie-breville
lesmonts.com"
Majestic Luchon ,Bagnères de Luchon,Corinne SIllières,MAJ,majestic,527 928 022 00021,RE,HO,3*,Montagne et sport,31110,Boulevard Amédée Fontant,La Reine Blanche,lemajestic-luchon.com
Marini,La Baule,Fabienne Senet,MAR,marini,799 023 825 00042,RE,HO,,,44350,22 Avenue Clémenceau,DG Hotels Grand Ouest,
Mas de Valrugues ,St-Rémy -de-Provence,Philippe Morales,MDV,valrugues,523 822 112 00075,RE,RE,3*,Nature et Bien être,13210,"11, Chemin Canto Cigalo",DG Holidays,lemasdevalrugues.com
Mongade,Plainfaing,Fidi Razakasoa,MGD,mongade,523 822 112 00240,RE,CL,na,Nature et Bien être,88230,Route du Col Bonhomme,DG Holidays,lemongade.com
Moulin à Vent,Lyon,Oumar CISSE,MLV,moulinavent,814 920 153 00032,FJT,RE,na,poppins,69008,164 rue Challemel Lacour,Popinns,
Myrtilles,Xonrupt,Edith Robert ,MYR,myrtilles,523 822 112 00398,RE,RE,,Montagne et sport,88400,2845 Route de Colmar,DG Holidays,lesmyrtilles-xonrupt.com
Normandy Country Club Bellême,Bellême,Maud Loire,NCC,ncc,750 305 583 00023,RE,HO,3*,Nature et Bien être,61130,Domaine du Golf de Bellême,Normandy Country Club,normandycountryclub.com
Palmeraie,La Baule,Véronique Venturini,PAL,palmeraie,799 023 825 00026,RE,HO,,,44500,7 Avenue des Cormorans,DG Hotels Grand Ouest,
Parc des Chênes,La Croix Valmer,Eve Francisco ,PDC,parcdeschenes,523 822 112 00265,RE,"CL, CA, HO, RE, RR",campin 1*,Mer et océan,83420,1634 Bd de Saint Raphaël,DG Holidays,leparcdeschenes.com
Parc Tivoli Plombieres les Bains,PLombières-les-Bains,Elisabeth MILLOTTE,PTI,parctivoli,532 152 287 00027,RE,RE,NA,Nature et Bien être,88370,Avenue des Etats-Unis,NSRN,plombieres-les-bains.com
Part-Dieu,Lyon,Marina LE BRUN,PRD,partdieu,814 920 153 00016,FJT,RE,na,poppins,69003,36 rue Maurice Flandin,Popinns,www.popinns.org
Plein Sud,La Foux d'Allos,Thomas Romero Ruiz,PSD,pleinsud,523 822 112 00257,RE,RE,2*,Montagne et sport,04260,"l'Adrech de Chauvey, Quartier de l'aiguille",DG Holidays,pleinsud-lafoux.com
Presqu'île,Lyon,Florence Marouani,PIL,presquile,814 920 153 00 24,FJT,RE,NA,popinns,69002,5 rue de Condé,Popinns,www.popinns.org
Riviera Limousine,Altillac,Jean Yves Merzougui,RVL,riviera,523 822 112 00299,RE,"CL, RE",2*,Nature et Bien être,19120,La Garenne,DG Holidays,larivieralimousine.com
